Slide Name,Order,Sample,Species,Organ,Uploaded Name,Relavant_For_Analysis_Y_N
13829$2019-075-1$US$SCAN$OR$001 .svs,13829,2019-075-1,Human,Other,scanned/2021-02-12/13829$2019-075-1$US$SCAN$OR$001 .svs,
13829$2019-075-2$US$SCAN$OR$001 .svs,13829,2019-075-2,Human,Other,scanned/2021-02-12/13829$2019-075-2$US$SCAN$OR$001 .svs,
13829$2019-075-3$US$SCAN$OR$001 .svs,13829,2019-075-3,Human,Other,scanned/2021-02-12/13829$2019-075-3$US$SCAN$OR$001 .svs,
13829$2019-090-7$US$SCAN$OR$001 .svs,13829,2019-090-7,Human,Other,scanned/2021-02-12/13829$2019-090-7$US$SCAN$OR$001 .svs,
13829$2019-090-8$US$SCAN$OR$001 .svs,13829,2019-090-8,Human,Other,scanned/2021-02-12/13829$2019-090-8$US$SCAN$OR$001 .svs,
13829$2019-075-4$US$SCAN$OR$001 .svs,13829,2019-075-4,Human,Other,scanned/2021-02-12/13829$2019-075-4$US$SCAN$OR$001 .svs,
13829$2019-090-9$US$SCAN$OR$001 .svs,13829,2019-090-9,Human,Other,scanned/2021-02-12/13829$2019-090-9$US$SCAN$OR$001 .svs,
13829$2019-075-5$US$SCAN$OR$001 .svs,13829,2019-075-5,Human,Other,scanned/2021-02-12/13829$2019-075-5$US$SCAN$OR$001 .svs,
13829$2019-075-6$US$SCAN$OR$001 .svs,13829,2019-075-6,Human,Other,scanned/2021-02-12/13829$2019-075-6$US$SCAN$OR$001 .svs,
13829$2019-090-10$US$SCAN$OR$001 .svs,13829,2019-090-10,Human,Other,scanned/2021-02-12/13829$2019-090-10$US$SCAN$OR$001 .svs,
13829$2019-090-11$US$SCAN$OR$001 .svs,13829,2019-090-11,Human,Other,scanned/2021-02-12/13829$2019-090-11$US$SCAN$OR$001 .svs,
13829$2019-092-1$US$SCAN$OR$001 .svs,13829,2019-092-1,Human,Other,scanned/2021-02-12/13829$2019-092-1$US$SCAN$OR$001 .svs,
13829$2004-0030-08$US$SCAN$OR$001 .svs,13829,2004-0030-08,Human,Other,scanned/2021-02-12/13829$2004-0030-08$US$SCAN$OR$001 .svs,
13829$2019-021-9$US$SCAN$OR$001 .svs,13829,2019-021-9,Human,Other,scanned/2021-02-12/13829$2019-021-9$US$SCAN$OR$001 .svs,
13829$2014-056-01$US$SCAN$OR$001 .svs,13829,2014-056-01,Human,Other,scanned/2021-02-12/13829$2014-056-01$US$SCAN$OR$001 .svs,
13829$2019-092-3$US$SCAN$OR$001 .svs,13829,2019-092-3,Human,Other,scanned/2021-02-12/13829$2019-092-3$US$SCAN$OR$001 .svs,
13829$2014-056-02$US$SCAN$OR$001 .svs,13829,2014-056-02,Human,Other,scanned/2021-02-12/13829$2014-056-02$US$SCAN$OR$001 .svs,
13829$2019-092-4$US$SCAN$OR$001 .svs,13829,2019-092-4,Human,Other,scanned/2021-02-12/13829$2019-092-4$US$SCAN$OR$001 .svs,
13829$2019-092-2$US$SCAN$OR$001 .svs,13829,2019-092-2,Human,Other,scanned/2021-02-12/13829$2019-092-2$US$SCAN$OR$001 .svs,
13829$2014-056-03$US$SCAN$OR$001 .svs,13829,2014-056-03,Human,Other,scanned/2021-02-12/13829$2014-056-03$US$SCAN$OR$001 .svs,
13829$2019-092-5$US$SCAN$OR$001 .svs,13829,2019-092-5,Human,Other,scanned/2021-02-12/13829$2019-092-5$US$SCAN$OR$001 .svs,
13829$2019-092-6$US$SCAN$OR$001 .svs,13829,2019-092-6,Human,Other,scanned/2021-02-12/13829$2019-092-6$US$SCAN$OR$001 .svs,
13829$2014-056-04$US$SCAN$OR$001 .svs,13829,2014-056-04,Human,Other,scanned/2021-02-12/13829$2014-056-04$US$SCAN$OR$001 .svs,
