,slidename,order,sample,notes
0,13829$2020-025-8$US$SCAN$OR$001 .svs,13829,2020-025-8,Immuno
0,13829$2020-025-9$US$SCAN$OR$001 .svs,13829,2020-025-9,Immuno
0,13829$2020-025-10$US$SCAN$OR$001 .svs,13829,2020-025-10,Immuno
0,13829$2020-025-11$US$SCAN$OR$001 .svs,13829,2020-025-11,Control
0,13829$2020-027-18$US$SCAN$OR$001 .svs,13829,2020-027-18,Immuno
0,13829$2020-027-20$US$SCAN$OR$001 .svs,13829,2020-027-20,Immuno
0,13829$2020-027-19$US$SCAN$OR$001 -001.svs,13829,2020-027-19,Immuno
0,13829$2020-027-21$US$SCAN$OR$001 .svs,13829,2020-027-21,Control
0,13829$2020-006-7$US$SCAN$OR$001 .svs,13829,2020-006-7,Immuno
0,13829$2020-037-10$US$SCAN$OR$001 .svs,13829,2020-037-10,Immuno
0,13829$2020-037-9$US$SCAN$OR$001 .svs,13829,2020-037-9,Immuno
0,13829$2020-037-8$US$SCAN$OR$001 .svs,13829,2020-037-8,Immuno
0,13829$2020-037-7$US$SCAN$OR$001 .svs,13829,2020-037-7,Pentachroma
0,13829$2020-036-7$US$SCAN$OR$001 .svs,13829,2020-036-7,Pentachrome
0,13829$2020-036-8$US$SCAN$OR$001 .svs,13829,2020-036-8,Immuno
0,13829$2020-036-9$US$SCAN$OR$001 .svs,13829,2020-036-9,Immuno
0,13829$2020-036-10$US$SCAN$OR$001 .svs,13829,2020-036-10,Immuno
0,13829$2020-031-7$US$SCAN$OR$001 .svs,13829,2020-031-7,Immuno
0,13829$2020-031-8$US$SCAN$OR$001 .svs,13829,2020-031-8,Immuno
0,13829$2020-031-9$US$SCAN$OR$001 .svs,13829,2020-031-9,Immuno
0,13829$2020-031-10$US$SCAN$OR$001 .svs,13829,2020-031-10,Pentachrome
0,13829$2020-044-7$US$SCAN$OR$001 .svs,13829,2020-044-7,Immuno
0,13829$2020-044-8$US$SCAN$OR$001 .svs,13829,2020-044-8,Immuno
0,13829$2020-043-7$US$SCAN$OR$001 .svs,13829,2020-043-7,Pentachrome
0,13829$2020-043-8$US$SCAN$OR$001 .svs,13829,2020-043-8,Pentachrome
0,13829$2020-043-9$US$SCAN$OR$001 .svs,13829,2020-043-9,Immuno
0,13829$2020-043-10$US$SCAN$OR$001 .svs,13829,2020-043-10,Immuno
0,13829$2020-043-11$US$SCAN$OR$001 .svs,13829,2020-043-11,Immuno
0,13829$2020-041-5$US$SCAN$OR$001 .svs,13829,2020-041-5,Pentachrome
0,13829$2020-041-4$US$SCAN$OR$001 .svs,13829,2020-041-4,Pentachrome
0,13829$2020-041-9$US$SCAN$OR$001 .svs,13829,2020-041-9,Immuno
